,1ADF,2JHF,1MGO,1EE2,1QV6,1A71,1N8K,1N92,1P1R,1YE3,3BTO,1QV7,1KUV,1KUY,1KUX,1L0C,1IB1e,1IB1f,1IB1g,1IB1h,1B6B,1B6Bb,1B73,2DWU,1ZUW,1B74,3IST,2JFU,2GZM,3ISV,3HFR,2JFV,2OHO,1EP0,1PM7,1NXM,2IXK,1WLT,1DZR,1RTV,2B9U,1NZC,1NYW,1CLK,1A0C,1MUW,1BXB,2GLK,1QT1,1XIM,1XLA,1DXI,2GYI,1XYL,1S5N,1XYA,3RUBl,8RUC,2VDI,1UZH,1UWA,1UPMs,1SVDm,1RXOc,1IWAb,1IR1s,1GK8i
1ADF,1.0,0.0588235294118,0.0347593582888,0.0509383378016,0.0294117647059,0.0561497326203,0.0347593582888,0.0374331550802,0.0401069518717,0.0320855614973,0.0561497326203,0.048128342246,0.198795180723,0.0903614457831,0.0843373493976,0.120481927711,0.111731843575,0.0391061452514,0.0893854748603,0.0893854748603,0.0535714285714,0.128205128205,0.0555555555556,0.0563909774436,0.0458015267176,0.0592885375494,0.0559701492537,0.0627306273063,0.0337078651685,0.0524344569288,0.0639097744361,0.0664206642066,0.0335820895522,0.0601092896175,0.110552763819,0.10824742268,0.054347826087,0.0625,0.0874316939891,0.0489130434783,0.0795454545455,0.0969387755102,0.0721649484536,0.0695187165775,0.0427807486631,0.0374331550802,0.0347593582888,0.0534759358289,0.0374331550802,0.0588235294118,0.0614973262032,0.0989304812834,0.0802139037433,0.0374331550802,0.0374331550802,0.072192513369,0.0855614973262,0.048128342246,0.0347593582888,0.0320855614973,0.0508021390374,0.105691056911,0.407407407407,0.121951219512,0.0724637681159,0.113821138211,0.0714285714286
2JHF,0.0588235294118,1.0,0.0909090909091,0.0482573726542,0.0828877005348,0.024064171123,0.0374331550802,0.0909090909091,0.0320855614973,0.024064171123,0.0909090909091,0.0347593582888,0.066265060241,0.0602409638554,0.114457831325,0.078313253012,0.0893854748603,0.0782122905028,0.0782122905028,0.0893854748603,0.125,0.0961538461538,0.0555555555556,0.0639097744361,0.0534351145038,0.158102766798,0.0783582089552,0.0332103321033,0.063670411985,0.0561797752809,0.0639097744361,0.0332103321033,0.0634328358209,0.131147540984,0.0552763819095,0.0824742268041,0.0652173913043,0.0625,0.0655737704918,0.0815217391304,0.119318181818,0.0459183673469,0.103092783505,0.048128342246,0.0427807486631,0.0427807486631,0.0534759358289,0.0588235294118,0.0427807486631,0.0614973262032,0.0374331550802,0.0588235294118,0.0561497326203,0.0320855614973,0.0294117647059,0.0294117647059,0.0614973262032,0.0454545454545,0.0267379679144,0.0427807486631,0.0427807486631,0.186991869919,0.231481481481,0.170731707317,0.0869565217391,0.186991869919,0.222222222222
1MGO,0.0347593582888,0.0909090909091,1.0,0.0482573726542,0.0374331550802,0.0614973262032,0.0320855614973,0.0294117647059,0.0427807486631,0.0267379679144,0.0347593582888,0.0561497326203,0.174698795181,0.066265060241,0.114457831325,0.0602409638554,0.0614525139665,0.0782122905028,0.072625698324,0.106145251397,0.0714285714286,0.128205128205,0.047619047619,0.0526315789474,0.0496183206107,0.0632411067194,0.0335820895522,0.0369003690037,0.063670411985,0.0449438202247,0.0751879699248,0.0553505535055,0.0746268656716,0.0874316939891,0.0804020100503,0.0773195876289,0.141304347826,0.0681818181818,0.0983606557377,0.0597826086957,0.136363636364,0.0765306122449,0.180412371134,0.0427807486631,0.0401069518717,0.0347593582888,0.0427807486631,0.0561497326203,0.0508021390374,0.0508021390374,0.0320855614973,0.0588235294118,0.0427807486631,0.024064171123,0.048128342246,0.048128342246,0.024064171123,0.0427807486631,0.0427807486631,0.072192513369,0.0427807486631,0.0813008130081,0.194444444444,0.178861788618,0.123188405797,0.0813008130081,0.222222222222
1EE2,0.0509383378016,0.0482573726542,0.0482573726542,1.0,0.101876675603,0.0697050938338,0.0697050938338,0.0670241286863,0.0402144772118,0.029490616622,0.0402144772118,0.0670241286863,0.078313253012,0.10843373494,0.114457831325,0.078313253012,0.0670391061453,0.150837988827,0.150837988827,0.206703910615,0.0952380952381,0.0705128205128,0.0595238095238,0.0714285714286,0.0763358778626,0.0790513833992,0.0597014925373,0.0848708487085,0.0674157303371,0.0449438202247,0.0977443609023,0.0553505535055,0.0559701492537,0.0765027322404,0.0904522613065,0.0721649484536,0.0869565217391,0.0738636363636,0.109289617486,0.0760869565217,0.164772727273,0.0816326530612,0.0721649484536,0.11528150134,0.0428954423592,0.0536193029491,0.0482573726542,0.0616621983914,0.0536193029491,0.0482573726542,0.0375335120643,0.0402144772118,0.0536193029491,0.0402144772118,0.0616621983914,0.0482573726542,0.0402144772118,0.0616621983914,0.058981233244,0.0482573726542,0.0428954423592,0.130081300813,0.166666666667,0.146341463415,0.123188405797,0.130081300813,0.126984126984
1QV6,0.0294117647059,0.0828877005348,0.0374331550802,0.101876675603,1.0,0.0267379679144,0.0347593582888,0.0294117647059,0.0427807486631,0.0347593582888,0.0294117647059,0.0641711229947,0.0903614457831,0.0722891566265,0.0963855421687,0.0722891566265,0.184357541899,0.0446927374302,0.0837988826816,0.0837988826816,0.10119047619,0.108974358974,0.0396825396825,0.0375939849624,0.0687022900763,0.0592885375494,0.0746268656716,0.0590405904059,0.0449438202247,0.0861423220974,0.0563909774436,0.0516605166052,0.0820895522388,0.0601092896175,0.0753768844221,0.159793814433,0.0978260869565,0.0738636363636,0.0710382513661,0.0652173913043,0.0852272727273,0.0663265306122,0.185567010309,0.0267379679144,0.024064171123,0.024064171123,0.0508021390374,0.0454545454545,0.0267379679144,0.0320855614973,0.0347593582888,0.0267379679144,0.0267379679144,0.0267379679144,0.048128342246,0.0588235294118,0.048128342246,0.0374331550802,0.0641711229947,0.024064171123,0.0695187165775,0.0975609756098,0.175925925926,0.162601626016,0.0797101449275,0.138211382114,0.103174603175
1A71,0.0561497326203,0.024064171123,0.0614973262032,0.0697050938338,0.0267379679144,1.0,0.0454545454545,0.0267379679144,0.0347593582888,0.0614973262032,0.0561497326203,0.0695187165775,0.222891566265,0.0963855421687,0.0722891566265,0.0843373493976,0.0558659217877,0.100558659218,0.0949720670391,0.0949720670391,0.0892857142857,0.0961538461538,0.031746031746,0.0676691729323,0.0648854961832,0.0632411067194,0.0820895522388,0.0627306273063,0.0449438202247,0.0749063670412,0.0488721804511,0.0479704797048,0.0485074626866,0.0819672131148,0.0603015075377,0.211340206186,0.114130434783,0.130681818182,0.125683060109,0.163043478261,0.136363636364,0.132653061224,0.0670103092784,0.0401069518717,0.0374331550802,0.0534759358289,0.0534759358289,0.0320855614973,0.0267379679144,0.0427807486631,0.0187165775401,0.0454545454545,0.0294117647059,0.0294117647059,0.0614973262032,0.0614973262032,0.0347593582888,0.0454545454545,0.0427807486631,0.048128342246,0.0561497326203,0.138211382114,0.231481481481,0.178861788618,0.144927536232,0.170731707317,0.134920634921
1N8K,0.0347593582888,0.0374331550802,0.0320855614973,0.0697050938338,0.0347593582888,0.0454545454545,1.0,0.0802139037433,0.219251336898,0.0267379679144,0.0267379679144,0.0748663101604,0.078313253012,0.078313253012,0.114457831325,0.0903614457831,0.0949720670391,0.0782122905028,0.100558659218,0.072625698324,0.0595238095238,0.0641025641026,0.0357142857143,0.0526315789474,0.110687022901,0.0592885375494,0.0485074626866,0.0479704797048,0.063670411985,0.0786516853933,0.0902255639098,0.0405904059041,0.0708955223881,0.0655737704918,0.0904522613065,0.134020618557,0.108695652174,0.0909090909091,0.109289617486,0.130434782609,0.0795454545455,0.0816326530612,0.0412371134021,0.048128342246,0.0374331550802,0.0641711229947,0.0320855614973,0.0561497326203,0.0454545454545,0.0320855614973,0.0320855614973,0.0454545454545,0.0614973262032,0.048128342246,0.0347593582888,0.0614973262032,0.0267379679144,0.0935828877005,0.0668449197861,0.0427807486631,0.0213903743316,0.138211382114,0.157407407407,0.0731707317073,0.0652173913043,0.121951219512,0.126984126984
1N92,0.0374331550802,0.0909090909091,0.0294117647059,0.0670241286863,0.0374331550802,0.0267379679144,0.0802139037433,1.0,0.0802139037433,0.0454545454545,0.0427807486631,0.0935828877005,0.0963855421687,0.0903614457831,0.066265060241,0.102409638554,0.0558659217877,0.106145251397,0.0670391061453,0.111731843575,0.0892857142857,0.0705128205128,0.0833333333333,0.0601503759398,0.0458015267176,0.0711462450593,0.0559701492537,0.0922509225092,0.0524344569288,0.059925093633,0.0751879699248,0.0516605166052,0.0708955223881,0.120218579235,0.0452261306533,0.134020618557,0.108695652174,0.0909090909091,0.0819672131148,0.054347826087,0.0454545454545,0.102040816327,0.0876288659794,0.0427807486631,0.0454545454545,0.0320855614973,0.0347593582888,0.0695187165775,0.0454545454545,0.0294117647059,0.0347593582888,0.0668449197861,0.0614973262032,0.0401069518717,0.0614973262032,0.0347593582888,0.0320855614973,0.048128342246,0.0374331550802,0.0427807486631,0.048128342246,0.113821138211,0.12037037037,0.113821138211,0.101449275362,0.105691056911,0.103174603175
1P1R,0.0401069518717,0.024064171123,0.0427807486631,0.0241286863271,0.0427807486631,0.0347593582888,0.219251336898,0.0802139037433,1.0,0.0347593582888,0.0454545454545,0.0748663101604,0.150602409639,0.078313253012,0.078313253012,0.120481927711,0.0558659217877,0.0949720670391,0.173184357542,0.117318435754,0.0892857142857,0.108974358974,0.0674603174603,0.0676691729323,0.0648854961832,0.0474308300395,0.044776119403,0.0479704797048,0.0786516853933,0.0823970037453,0.101503759398,0.0590405904059,0.0335820895522,0.20218579235,0.0653266331658,0.0927835051546,0.135869565217,0.153409090909,0.0874316939891,0.0760869565217,0.0625,0.0459183673469,0.128865979381,0.0508021390374,0.0374331550802,0.0641711229947,0.0320855614973,0.0320855614973,0.0454545454545,0.0294117647059,0.0320855614973,0.0427807486631,0.0641711229947,0.0374331550802,0.0641711229947,0.0347593582888,0.0294117647059,0.0802139037433,0.0294117647059,0.0267379679144,0.0614973262032,0.0975609756098,0.194444444444,0.146341463415,0.144927536232,0.0894308943089,0.293650793651
1YE3,0.0320855614973,0.024064171123,0.0267379679144,0.029490616622,0.0347593582888,0.0614973262032,0.0267379679144,0.0454545454545,0.0347593582888,1.0,0.0454545454545,0.0427807486631,0.066265060241,0.10843373494,0.0542168674699,0.138554216867,0.0558659217877,0.0782122905028,0.106145251397,0.106145251397,0.0595238095238,0.0769230769231,0.031746031746,0.0751879699248,0.0381679389313,0.110671936759,0.0634328358209,0.0627306273063,0.0411985018727,0.063670411985,0.0639097744361,0.0664206642066,0.044776119403,0.0546448087432,0.100502512563,0.0824742268041,0.119565217391,0.0909090909091,0.142076502732,0.070652173913,0.0852272727273,0.0867346938776,0.0927835051546,0.0427807486631,0.0427807486631,0.0347593582888,0.048128342246,0.0775401069519,0.048128342246,0.048128342246,0.0588235294118,0.0454545454545,0.0401069518717,0.048128342246,0.0347593582888,0.048128342246,0.0374331550802,0.0320855614973,0.024064171123,0.0427807486631,0.0347593582888,0.0894308943089,0.0925925925926,0.0813008130081,0.0797101449275,0.219512195122,0.0793650793651
3BTO,0.0561497326203,0.0909090909091,0.0347593582888,0.0402144772118,0.0294117647059,0.0561497326203,0.0267379679144,0.0427807486631,0.0454545454545,0.0454545454545,1.0,0.0641711229947,0.0542168674699,0.0722891566265,0.0602409638554,0.102409638554,0.128491620112,0.262569832402,0.0782122905028,0.195530726257,0.0595238095238,0.0961538461538,0.0595238095238,0.0827067669173,0.0725190839695,0.0750988142292,0.0597014925373,0.0664206642066,0.0486891385768,0.0561797752809,0.0827067669173,0.0516605166052,0.0932835820896,0.207650273224,0.115577889447,0.139175257732,0.114130434783,0.113636363636,0.142076502732,0.108695652174,0.0568181818182,0.0816326530612,0.0876288659794,0.0320855614973,0.0294117647059,0.048128342246,0.048128342246,0.0320855614973,0.0454545454545,0.0401069518717,0.0320855614973,0.0374331550802,0.0374331550802,0.0294117647059,0.0454545454545,0.0427807486631,0.0427807486631,0.0935828877005,0.0213903743316,0.0401069518717,0.0802139037433,0.105691056911,0.0833333333333,0.121951219512,0.0869565217391,0.219512195122,0.126984126984
1QV7,0.0320855614973,0.0347593582888,0.0561497326203,0.0670241286863,0.0641711229947,0.0695187165775,0.0748663101604,0.0935828877005,0.0748663101604,0.0427807486631,0.0641711229947,1.0,0.0602409638554,0.0542168674699,0.0602409638554,0.0843373493976,0.100558659218,0.0614525139665,0.0502793296089,0.100558659218,0.0654761904762,0.0769230769231,0.0595238095238,0.105263157895,0.0610687022901,0.0553359683794,0.0746268656716,0.0369003690037,0.0524344569288,0.0486891385768,0.0563909774436,0.029520295203,0.0932835820896,0.109289617486,0.070351758794,0.0618556701031,0.0869565217391,0.136363636364,0.114754098361,0.0923913043478,0.0568181818182,0.0357142857143,0.0721649484536,0.0508021390374,0.0374331550802,0.0374331550802,0.0534759358289,0.0641711229947,0.0401069518717,0.0347593582888,0.0401069518717,0.0641711229947,0.0374331550802,0.0454545454545,0.0534759358289,0.0508021390374,0.0347593582888,0.0614973262032,0.0294117647059,0.0454545454545,0.0427807486631,0.0975609756098,0.12962962963,0.121951219512,0.123188405797,0.268292682927,0.190476190476
1KUV,0.198795180723,0.102409638554,0.174698795181,0.078313253012,0.0903614457831,0.222891566265,0.0602409638554,0.0602409638554,0.150602409639,0.066265060241,0.0542168674699,0.0602409638554,1.0,0.156626506024,0.246987951807,0.120481927711,0.10843373494,0.078313253012,0.066265060241,0.114457831325,0.0602409638554,0.0833333333333,0.102409638554,0.0843373493976,0.0903614457831,0.10843373494,0.132530120482,0.0602409638554,0.0481927710843,0.0903614457831,0.168674698795,0.0722891566265,0.066265060241,0.078313253012,0.0602409638554,0.0722891566265,0.0722891566265,0.0903614457831,0.066265060241,0.078313253012,0.066265060241,0.0542168674699,0.0542168674699,0.156626506024,0.0903614457831,0.10843373494,0.10843373494,0.156626506024,0.156626506024,0.156626506024,0.10843373494,0.10843373494,0.174698795181,0.0542168674699,0.0963855421687,0.102409638554,0.0542168674699,0.10843373494,0.0903614457831,0.0481927710843,0.0963855421687,0.146341463415,0.111111111111,0.162601626016,0.195652173913,0.178861788618,0.0873015873016
1KUY,0.0903614457831,0.0602409638554,0.066265060241,0.10843373494,0.0722891566265,0.0963855421687,0.078313253012,0.0903614457831,0.078313253012,0.10843373494,0.0722891566265,0.0542168674699,0.156626506024,1.0,0.0903614457831,0.0542168674699,0.0602409638554,0.0361445783133,0.114457831325,0.168674698795,0.066265060241,0.0320512820513,0.0722891566265,0.078313253012,0.0602409638554,0.102409638554,0.078313253012,0.0963855421687,0.0722891566265,0.120481927711,0.066265060241,0.126506024096,0.078313253012,0.0542168674699,0.0963855421687,0.21686746988,0.0963855421687,0.066265060241,0.168674698795,0.120481927711,0.0421686746988,0.126506024096,0.0602409638554,0.150602409639,0.174698795181,0.078313253012,0.102409638554,0.228915662651,0.0722891566265,0.228915662651,0.0843373493976,0.198795180723,0.168674698795,0.180722891566,0.066265060241,0.102409638554,0.0542168674699,0.120481927711,0.114457831325,0.10843373494,0.0722891566265,0.0975609756098,0.111111111111,0.0569105691057,0.101449275362,0.0813008130081,0.0555555555556
1KUX,0.0843373493976,0.114457831325,0.114457831325,0.114457831325,0.0963855421687,0.0722891566265,0.114457831325,0.066265060241,0.078313253012,0.0542168674699,0.0602409638554,0.0602409638554,0.246987951807,0.0903614457831,1.0,0.0903614457831,0.0602409638554,0.0542168674699,0.0602409638554,0.0722891566265,0.0903614457831,0.0897435897436,0.078313253012,0.0963855421687,0.0963855421687,0.10843373494,0.0602409638554,0.078313253012,0.0542168674699,0.066265060241,0.126506024096,0.0602409638554,0.0903614457831,0.0722891566265,0.138554216867,0.0722891566265,0.198795180723,0.132530120482,0.114457831325,0.16265060241,0.0602409638554,0.120481927711,0.0542168674699,0.180722891566,0.0903614457831,0.174698795181,0.114457831325,0.132530120482,0.078313253012,0.156626506024,0.0421686746988,0.234939759036,0.156626506024,0.132530120482,0.078313253012,0.138554216867,0.120481927711,0.0602409638554,0.0722891566265,0.078313253012,0.150602409639,0.0731707317073,0.0648148148148,0.113821138211,0.224637681159,0.0731707317073,0.0634920634921
1L0C,0.120481927711,0.078313253012,0.0602409638554,0.078313253012,0.0722891566265,0.0843373493976,0.0903614457831,0.102409638554,0.120481927711,0.138554216867,0.102409638554,0.0843373493976,0.120481927711,0.0542168674699,0.0903614457831,1.0,0.10843373494,0.066265060241,0.0361445783133,0.102409638554,0.114457831325,0.0769230769231,0.114457831325,0.078313253012,0.078313253012,0.0903614457831,0.0843373493976,0.078313253012,0.078313253012,0.102409638554,0.0722891566265,0.0542168674699,0.186746987952,0.120481927711,0.156626506024,0.126506024096,0.0421686746988,0.132530120482,0.138554216867,0.0542168674699,0.0542168674699,0.0843373493976,0.144578313253,0.132530120482,0.0903614457831,0.0963855421687,0.078313253012,0.0843373493976,0.0481927710843,0.21686746988,0.0481927710843,0.0903614457831,0.180722891566,0.168674698795,0.066265060241,0.150602409639,0.16265060241,0.120481927711,0.0722891566265,0.0903614457831,0.0963855421687,0.0731707317073,0.0648148148148,0.19512195122,0.13768115942,0.0569105691057,0.0634920634921
1IB1e,0.111731843575,0.0893854748603,0.0614525139665,0.0670391061453,0.184357541899,0.0558659217877,0.0949720670391,0.0558659217877,0.0558659217877,0.0558659217877,0.128491620112,0.100558659218,0.10843373494,0.0602409638554,0.0602409638554,0.10843373494,1.0,0.184357541899,0.072625698324,0.0614525139665,0.0714285714286,0.0641025641026,0.0446927374302,0.128491620112,0.0837988826816,0.0837988826816,0.0837988826816,0.072625698324,0.0782122905028,0.0837988826816,0.0558659217877,0.0558659217877,0.150837988827,0.0670391061453,0.117318435754,0.0558659217877,0.072625698324,0.0909090909091,0.072625698324,0.0837988826816,0.0511363636364,0.0558659217877,0.0558659217877,0.0670391061453,0.0670391061453,0.0893854748603,0.0614525139665,0.072625698324,0.072625698324,0.128491620112,0.0558659217877,0.0558659217877,0.0558659217877,0.0670391061453,0.106145251397,0.0670391061453,0.0614525139665,0.106145251397,0.0670391061453,0.0837988826816,0.0614525139665,0.105691056911,0.0925925925926,0.0813008130081,0.108695652174,0.138211382114,0.134920634921
1IB1f,0.0391061452514,0.0782122905028,0.0782122905028,0.150837988827,0.0446927374302,0.100558659218,0.0782122905028,0.106145251397,0.0949720670391,0.0782122905028,0.262569832402,0.0782122905028,0.078313253012,0.0361445783133,0.0542168674699,0.066265060241,0.184357541899,1.0,0.122905027933,0.145251396648,0.0833333333333,0.0512820512821,0.100558659218,0.0502793296089,0.106145251397,0.0391061452514,0.100558659218,0.0446927374302,0.0893854748603,0.0502793296089,0.072625698324,0.0614525139665,0.0893854748603,0.0502793296089,0.0670391061453,0.0837988826816,0.072625698324,0.0909090909091,0.156424581006,0.111731843575,0.0625,0.0446927374302,0.0782122905028,0.0391061452514,0.162011173184,0.0558659217877,0.0949720670391,0.0502793296089,0.0837988826816,0.0502793296089,0.117318435754,0.0614525139665,0.128491620112,0.0558659217877,0.0558659217877,0.0391061452514,0.0446927374302,0.122905027933,0.0614525139665,0.100558659218,0.0614525139665,0.0894308943089,0.0740740740741,0.252032520325,0.0652173913043,0.0813008130081,0.0793650793651
1IB1g,0.0893854748603,0.0782122905028,0.072625698324,0.0670391061453,0.0837988826816,0.0949720670391,0.100558659218,0.0670391061453,0.173184357542,0.106145251397,0.0782122905028,0.0502793296089,0.066265060241,0.114457831325,0.0602409638554,0.0361445783133,0.072625698324,0.122905027933,1.0,0.0670391061453,0.0892857142857,0.0641025641026,0.122905027933,0.0614525139665,0.117318435754,0.0782122905028,0.156424581006,0.0502793296089,0.122905027933,0.0893854748603,0.072625698324,0.0670391061453,0.0502793296089,0.162011173184,0.0837988826816,0.106145251397,0.0949720670391,0.142045454545,0.072625698324,0.0446927374302,0.113636363636,0.139664804469,0.0670391061453,0.0502793296089,0.0782122905028,0.195530726257,0.100558659218,0.0837988826816,0.0502793296089,0.0670391061453,0.0837988826816,0.106145251397,0.122905027933,0.128491620112,0.0614525139665,0.134078212291,0.150837988827,0.0614525139665,0.111731843575,0.134078212291,0.0446927374302,0.105691056911,0.101851851852,0.0813008130081,0.166666666667,0.0731707317073,0.134920634921
1IB1h,0.0893854748603,0.0893854748603,0.106145251397,0.206703910615,0.0837988826816,0.0949720670391,0.072625698324,0.111731843575,0.117318435754,0.106145251397,0.195530726257,0.100558659218,0.0421686746988,0.168674698795,0.0722891566265,0.102409638554,0.0614525139665,0.145251396648,0.0670391061453,1.0,0.0833333333333,0.108974358974,0.0670391061453,0.0837988826816,0.0614525139665,0.0837988826816,0.156424581006,0.0502793296089,0.0614525139665,0.0614525139665,0.0782122905028,0.106145251397,0.0670391061453,0.134078212291,0.156424581006,0.100558659218,0.0949720670391,0.0909090909091,0.072625698324,0.0614525139665,0.113636363636,0.072625698324,0.0782122905028,0.0893854748603,0.100558659218,0.0837988826816,0.0782122905028,0.128491620112,0.134078212291,0.201117318436,0.0893854748603,0.100558659218,0.072625698324,0.139664804469,0.139664804469,0.100558659218,0.150837988827,0.0670391061453,0.0837988826816,0.139664804469,0.0670391061453,0.121951219512,0.0740740740741,0.0569105691057,0.130434782609,0.130081300813,0.142857142857
1B6B,0.0535714285714,0.125,0.0714285714286,0.0952380952381,0.10119047619,0.0892857142857,0.0595238095238,0.0892857142857,0.0892857142857,0.0595238095238,0.0952380952381,0.0654761904762,0.0602409638554,0.066265060241,0.0903614457831,0.114457831325,0.0714285714286,0.0833333333333,0.0892857142857,0.0833333333333,1.0,0.0641025641026,0.0892857142857,0.0714285714286,0.0654761904762,0.0833333333333,0.113095238095,0.107142857143,0.0714285714286,0.125,0.0952380952381,0.0595238095238,0.0714285714286,0.0714285714286,0.0714285714286,0.0714285714286,0.0892857142857,0.190476190476,0.113095238095,0.0952380952381,0.0952380952381,0.0833333333333,0.119047619048,0.077380952381,0.0892857142857,0.0833333333333,0.130952380952,0.0833333333333,0.0952380952381,0.0833333333333,0.130952380952,0.0595238095238,0.0595238095238,0.10119047619,0.0833333333333,0.0833333333333,0.0892857142857,0.0833333333333,0.0535714285714,0.0833333333333,0.10119047619,0.113821138211,0.111111111111,0.154471544715,0.0724637681159,0.130081300813,0.150793650794
1B6Bb,0.128205128205,0.0961538461538,0.128205128205,0.0705128205128,0.108974358974,0.0961538461538,0.0641025641026,0.0512820512821,0.108974358974,0.0769230769231,0.0961538461538,0.0769230769231,0.0833333333333,0.0320512820513,0.0512820512821,0.0769230769231,0.0641025641026,0.0512820512821,0.0641025641026,0.108974358974,0.0641025641026,1.0,0.0448717948718,0.173076923077,0.0897435897436,0.0769230769231,0.115384615385,0.0833333333333,0.0961538461538,0.0705128205128,0.166666666667,0.0961538461538,0.134615384615,0.0705128205128,0.108974358974,0.115384615385,0.0705128205128,0.0512820512821,0.0641025641026,0.0961538461538,0.0641025641026,0.128205128205,0.115384615385,0.102564102564,0.141025641026,0.128205128205,0.0576923076923,0.371794871795,0.0512820512821,0.166666666667,0.102564102564,0.0833333333333,0.147435897436,0.115384615385,0.102564102564,0.0512820512821,0.121794871795,0.0641025641026,0.166666666667,0.102564102564,0.115384615385,0.0975609756098,0.0925925925926,0.0813008130081,0.0797101449275,0.0650406504065,0.111111111111
